event_id,user_id,event_type,is_recurring,recurrence_interval_days,is_flexible,is_essential,status,amount,currency,event_date,description,linked_event_id
event_1,user_26,income,True,30,False,True,confirmed,17156978.14,IDR,2025-08-10,Confirmed Monthly Salary,
event_2,user_26,recurring_expense,True,30,False,True,confirmed,6088871.92,IDR,2025-08-15,Apartment Rent & Essential Utilities,
event_3,user_26,recurring_expense,True,15,False,True,confirmed,1305594.22,IDR,2025-08-07,Bi-weekly Groceries & Commuting,
event_4,user_26,recurring_expense,True,30,True,False,confirmed,1854714.45,IDR,2025-08-10,Streaming Services & Dining Out Club,
event_5,user_26,recurring_expense,True,30,True,False,confirmed,854250.87,IDR,2025-08-15,Fitness & Luxury Lifestyle Subscription,
event_6,user_27,income,True,30,False,True,confirmed,5390.01,ZAR,2026-07-19,Confirmed Monthly Salary,
event_7,user_27,recurring_expense,True,30,False,True,confirmed,2046.91,ZAR,2026-07-24,Apartment Rent & Essential Utilities,
event_8,user_27,recurring_expense,True,15,False,True,confirmed,614.0,ZAR,2026-07-09,Bi-weekly Groceries & Commuting,
event_9,user_27,recurring_expense,True,30,True,False,confirmed,636.84,ZAR,2026-07-12,Streaming Services & Dining Out Club,
event_10,user_27,recurring_expense,True,30,True,False,confirmed,407.11,ZAR,2026-07-17,Fitness & Luxury Lifestyle Subscription,
event_11,user_28,income,True,30,False,True,confirmed,2012.43,EUR,2024-06-28,Confirmed Monthly Salary,
event_12,user_28,recurring_expense,True,30,False,True,confirmed,754.51,EUR,2024-07-03,Apartment Rent & Essential Utilities,
event_13,user_28,recurring_expense,True,15,False,True,confirmed,241.78,EUR,2024-06-11,Bi-weekly Groceries & Commuting,
event_14,user_28,recurring_expense,True,30,True,False,confirmed,209.9,EUR,2024-06-14,Streaming Services & Dining Out Club,
event_15,user_28,recurring_expense,True,30,True,False,confirmed,83.53,EUR,2024-06-19,Fitness & Luxury Lifestyle Subscription,
event_16,user_29,income,True,30,False,True,confirmed,82537.94,ZAR,2025-11-12,Confirmed Monthly Salary,
event_17,user_29,recurring_expense,True,30,False,True,confirmed,23345.91,ZAR,2025-11-17,Apartment Rent & Essential Utilities,
event_18,user_29,recurring_expense,True,15,False,True,confirmed,6975.0,ZAR,2025-11-08,Bi-weekly Groceries & Commuting,
event_19,user_29,recurring_expense,True,30,True,False,confirmed,5574.93,ZAR,2025-11-11,Streaming Services & Dining Out Club,
event_20,user_29,recurring_expense,True,30,True,False,confirmed,5594.33,ZAR,2025-11-16,Fitness & Luxury Lifestyle Subscription,
event_21,user_30,income,True,30,False,True,confirmed,1215.1,USD,2026-04-21,Confirmed Monthly Salary,
event_22,user_30,recurring_expense,True,30,False,True,confirmed,427.87,USD,2026-04-26,Apartment Rent & Essential Utilities,
event_23,user_30,recurring_expense,True,15,False,True,confirmed,99.44,USD,2026-04-10,Bi-weekly Groceries & Commuting,
event_24,user_30,recurring_expense,True,30,True,False,confirmed,69.02,USD,2026-04-13,Streaming Services & Dining Out Club,
event_25,user_30,recurring_expense,True,30,True,False,confirmed,74.57,USD,2026-04-18,Fitness & Luxury Lifestyle Subscription,
event_26,user_31,income,True,30,False,True,confirmed,15247271.63,IDR,2024-09-25,Confirmed Monthly Salary,
event_27,user_31,recurring_expense,True,30,False,True,confirmed,5615441.65,IDR,2024-09-30,Apartment Rent & Essential Utilities,
event_28,user_31,recurring_expense,True,15,False,True,confirmed,1168981.27,IDR,2024-09-07,Bi-weekly Groceries & Commuting,
event_29,user_31,recurring_expense,True,30,True,False,confirmed,1151783.26,IDR,2024-09-10,Streaming Services & Dining Out Club,
event_30,user_31,recurring_expense,True,30,True,False,confirmed,557601.72,IDR,2024-09-15,Fitness & Luxury Lifestyle Subscription,
event_31,user_32,income,True,30,False,True,confirmed,68415.89,ZAR,2025-02-14,Confirmed Monthly Salary,
event_32,user_32,recurring_expense,True,30,False,True,confirmed,20456.89,ZAR,2025-02-19,Apartment Rent & Essential Utilities,
event_33,user_32,recurring_expense,True,15,False,True,confirmed,6552.54,ZAR,2025-02-09,Bi-weekly Groceries & Commuting,
event_34,user_32,recurring_expense,True,30,True,False,confirmed,4382.42,ZAR,2025-02-12,Streaming Services & Dining Out Club,
event_35,user_32,recurring_expense,True,30,True,False,confirmed,4742.98,ZAR,2025-02-17,Fitness & Luxury Lifestyle Subscription,
event_36,user_33,income,True,30,False,True,confirmed,197822.35,INR,2026-01-23,Confirmed Monthly Salary,
event_37,user_33,recurring_expense,True,30,False,True,confirmed,60311.81,INR,2026-01-28,Apartment Rent & Essential Utilities,
event_38,user_33,recurring_expense,True,15,False,True,confirmed,19799.99,INR,2026-01-11,Bi-weekly Groceries & Commuting,
event_39,user_33,recurring_expense,True,30,True,False,confirmed,13664.96,INR,2026-01-14,Streaming Services & Dining Out Club,
event_40,user_33,recurring_expense,True,30,True,False,confirmed,7562.2,INR,2026-01-19,Fitness & Luxury Lifestyle Subscription,
event_41,user_34,income,True,30,False,True,confirmed,221797.93,INR,2024-12-27,Confirmed Monthly Salary,
event_42,user_34,recurring_expense,True,30,False,True,confirmed,86862.32,INR,2025-01-01,Apartment Rent & Essential Utilities,
event_43,user_34,recurring_expense,True,15,False,True,confirmed,27363.03,INR,2024-12-08,Bi-weekly Groceries & Commuting,
event_44,user_34,recurring_expense,True,30,True,False,confirmed,15672.22,INR,2024-12-11,Streaming Services & Dining Out Club,
event_45,user_34,recurring_expense,True,30,True,False,confirmed,16306.55,INR,2024-12-16,Fitness & Luxury Lifestyle Subscription,
event_46,user_35,income,True,30,False,True,confirmed,340097.3,INR,2025-11-09,Confirmed Monthly Salary,
event_47,user_35,recurring_expense,True,30,False,True,confirmed,108916.06,INR,2025-11-14,Apartment Rent & Essential Utilities,
event_48,user_35,recurring_expense,True,15,False,True,confirmed,26787.76,INR,2025-11-03,Bi-weekly Groceries & Commuting,
event_49,user_35,recurring_expense,True,30,True,False,confirmed,34958.81,INR,2025-11-06,Streaming Services & Dining Out Club,
event_50,user_35,recurring_expense,True,30,True,False,confirmed,14039.47,INR,2025-11-11,Fitness & Luxury Lifestyle Subscription,
event_51,user_36,income,True,30,False,True,confirmed,5837.38,USD,2026-07-20,Confirmed Monthly Salary,
