message_id,user_id,request_id,related_event_id,message_date,sender,content
msg_1,user_26,request_26,,2025-08-03,merchant_or_employer,Confirmed quote for family_transfer: total requested 15656000.0.
msg_2,user_27,request_27,,2026-07-05,merchant_or_employer,Confirmed quote for purchase: total requested 6670.0.
msg_3,user_28,request_28,,2024-06-07,merchant_or_employer,Confirmed quote for investment: total requested 1302.4.
msg_4,user_29,request_29,,2025-11-04,merchant_or_employer,Confirmed quote for investment: total requested 51524.0.
msg_5,user_30,request_30,,2026-04-06,merchant_or_employer,Confirmed quote for debt_repayment: total requested 775.2.
msg_6,user_31,request_31,,2024-09-03,merchant_or_employer,Confirmed quote for purchase: total requested 18164000.0.
msg_7,user_32,request_32,,2025-02-05,merchant_or_employer,Confirmed quote for travel: total requested 40018.0.
msg_8,user_33,request_33,,2026-01-07,merchant_or_employer,Confirmed quote for housing: total requested 118000.0.
msg_9,user_34,request_34,,2024-12-04,merchant_or_employer,Confirmed quote for travel: total requested 129400.0.
msg_10,user_35,request_35,,2025-10-30,merchant_or_employer,Confirmed quote for travel: total requested 212000.0.
msg_11,user_36,request_36,,2026-07-03,merchant_or_employer,Confirmed quote for education: total requested 3954.0.
msg_12,user_37,request_37,,2024-03-05,merchant_or_employer,Confirmed quote for family_transfer: total requested 14649000.0.
msg_13,user_38,request_38,,2025-08-07,merchant_or_employer,Confirmed quote for emergency_expense: total requested 971.3.
msg_14,user_39,request_39,,2026-04-04,merchant_or_employer,Confirmed quote for housing: total requested 208600.0.
msg_15,user_40,request_40,,2024-06-06,merchant_or_employer,Confirmed quote for education: total requested 1290.3.
msg_16,user_41,request_41,,2025-11-03,merchant_or_employer,Confirmed quote for emergency_expense: total requested 38760000.0.
msg_17,user_42,request_42,,2026-01-05,merchant_or_employer,Confirmed quote for emergency_expense: total requested 52100.0.
msg_18,user_43,request_43,,2024-09-07,merchant_or_employer,Confirmed quote for purchase: total requested 43339000.0.
msg_19,user_44,request_44,,2025-02-04,merchant_or_employer,Confirmed quote for education: total requested 95800.0.
msg_20,user_45,request_45,,2026-07-06,merchant_or_employer,Confirmed quote for purchase: total requested 21983000.0.
msg_21,user_46,request_46,,2024-12-03,merchant_or_employer,Confirmed quote for debt_repayment: total requested 49450.0.
msg_22,user_47,request_47,,2025-05-05,merchant_or_employer,Confirmed quote for emergency_expense: total requested 38114000.0.
msg_23,user_48,request_48,,2026-07-25,merchant_or_employer,Confirmed quote for family_transfer: total requested 45700.0.
msg_24,user_49,request_49,,2024-03-04,merchant_or_employer,Confirmed quote for travel: total requested 34333000.0.
msg_25,user_50,request_50,,2025-08-06,merchant_or_employer,Confirmed quote for travel: total requested 43900.0.
msg_26,user_51,request_51,,2026-01-03,merchant_or_employer,Confirmed quote for investment: total requested 2191000.0.
msg_27,user_52,request_52,,2024-06-05,merchant_or_employer,Confirmed quote for emergency_expense: total requested 28870.0.
msg_28,user_53,request_53,,2025-11-07,merchant_or_employer,Confirmed quote for purchase: total requested 1699.2.
msg_29,user_54,request_54,,2026-07-04,merchant_or_employer,Confirmed quote for housing: total requested 121528.0.
msg_30,user_55,request_55,,2026-06-08,merchant_or_employer,Confirmed quote for family_transfer: total requested 218600.0.
