request_id,payment_option_id,payment_type,number_of_payments,days_between_payments,first_payment_date,payment_amount,financing_fee,total_payable
request_26,opt_1,installments,3,30,2025-08-03,5323040.0,313120.0,15969120.0
request_26,opt_2,installments,4,15,2025-08-03,4070560.0,626240.0,16282240.0
request_27,opt_3,installments,3,30,2026-07-05,2267.8,133.4,6803.4
request_27,opt_4,installments,4,15,2026-07-05,1734.2,266.8,6936.8
request_28,opt_5,installments,3,30,2024-06-07,442.82,26.05,1328.46
request_28,opt_6,installments,4,15,2024-06-07,338.62,52.1,1354.48
request_29,opt_7,installments,3,30,2025-11-04,17518.16,1030.48,52554.48
request_29,opt_8,installments,4,15,2025-11-04,13396.24,2060.96,53584.96
request_30,opt_9,installments,3,30,2026-04-06,263.57,15.5,790.71
request_30,opt_10,installments,4,15,2026-04-06,201.55,31.01,806.2
request_31,opt_11,installments,3,30,2024-09-03,6175760.0,363280.0,18527280.0
request_31,opt_12,installments,4,15,2024-09-03,4722640.0,726560.0,18890560.0
request_32,opt_13,installments,3,30,2025-02-05,13606.12,800.36,40818.36
request_32,opt_14,installments,4,15,2025-02-05,10404.68,1600.72,41618.72
request_33,opt_15,installments,3,30,2026-01-07,40120.0,2360.0,120360.0
request_33,opt_16,installments,4,15,2026-01-07,30680.0,4720.0,122720.0
request_34,opt_17,installments,3,30,2024-12-04,43996.0,2588.0,131988.0
request_34,opt_18,installments,4,15,2024-12-04,33644.0,5176.0,134576.0
request_35,opt_19,installments,3,30,2025-10-30,72080.0,4240.0,216240.0
request_35,opt_20,installments,4,15,2025-10-30,55120.0,8480.0,220480.0
request_36,opt_21,installments,3,30,2026-07-03,1344.36,79.08,4033.08
request_36,opt_22,installments,4,15,2026-07-03,1028.04,158.16,4112.16
request_37,opt_23,installments,3,30,2024-03-05,4980660.0,292980.0,14941980.0
request_37,opt_24,installments,4,15,2024-03-05,3808740.0,585960.0,15234960.0
request_38,opt_25,installments,3,30,2025-08-07,330.24,19.43,990.72
request_38,opt_26,installments,4,15,2025-08-07,252.54,38.85,1010.16
request_39,opt_27,installments,3,30,2026-04-04,70924.0,4172.0,212772.0
request_39,opt_28,installments,4,15,2026-04-04,54236.0,8344.0,216944.0
request_40,opt_29,installments,3,30,2024-06-06,438.7,25.81,1316.1
request_40,opt_30,installments,4,15,2024-06-06,335.48,51.61,1341.92
request_41,opt_31,installments,3,30,2025-11-03,13178400.0,775200.0,39535200.0
request_41,opt_32,installments,4,15,2025-11-03,10077600.0,1550400.0,40310400.0
request_42,opt_33,installments,3,30,2026-01-05,17714.0,1042.0,53142.0
request_42,opt_34,installments,4,15,2026-01-05,13546.0,2084.0,54184.0
request_43,opt_35,installments,3,30,2024-09-07,14735260.0,866780.0,44205780.0
request_43,opt_36,installments,4,15,2024-09-07,11268140.0,1733560.0,45072560.0
request_44,opt_37,installments,3,30,2025-02-04,32572.0,1916.0,97716.0
request_44,opt_38,installments,4,15,2025-02-04,24908.0,3832.0,99632.0
request_45,opt_39,installments,3,30,2026-07-06,7474220.0,439660.0,22422660.0
request_45,opt_40,installments,4,15,2026-07-06,5715580.0,879320.0,22862320.0
request_46,opt_41,installments,3,30,2024-12-03,16813.0,989.0,50439.0
request_46,opt_42,installments,4,15,2024-12-03,12857.0,1978.0,51428.0
request_47,opt_43,installments,3,30,2025-05-05,12958760.0,762280.0,38876280.0
request_47,opt_44,installments,4,15,2025-05-05,9909640.0,1524560.0,39638560.0
request_48,opt_45,installments,3,30,2026-07-25,15538.0,914.0,46614.0
request_48,opt_46,installments,4,15,2026-07-25,11882.0,1828.0,47528.0
request_49,opt_47,installments,3,30,2024-03-04,11673220.0,686660.0,35019660.0
request_49,opt_48,installments,4,15,2024-03-04,8926580.0,1373320.0,35706320.0
request_50,opt_49,installments,3,30,2025-08-06,14926.0,878.0,44778.0
request_50,opt_50,installments,4,15,2025-08-06,11414.0,1756.0,45656.0
request_51,opt_51,installments,3,30,2026-01-03,744940.0,43820.0,2234820.0
request_51,opt_52,installments,4,15,2026-01-03,569660.0,87640.0,2278640.0
request_52,opt_53,installments,3,30,2024-06-05,9815.8,577.4,29447.4
request_52,opt_54,installments,4,15,2024-06-05,7506.2,1154.8,30024.8
request_53,opt_55,installments,3,30,2025-11-07,577.73,33.98,1733.19
request_53,opt_56,installments,4,15,2025-11-07,441.79,67.97,1767.16
request_54,opt_57,installments,3,30,2026-07-04,41319.52,2430.56,123958.56
request_54,opt_58,installments,4,15,2026-07-04,31597.28,4861.12,126389.12
request_55,opt_59,installments,3,30,2026-06-08,74324.0,4372.0,222972.0
request_55,opt_60,installments,4,15,2026-06-08,56836.0,8744.0,227344.0
request_56,opt_61,installments,3,30,2025-02-03,299.73,17.63,899.19
request_56,opt_62,installments,4,15,2025-02-03,229.21,35.26,916.84
request_57,opt_63,installments,3,30,2026-04-05,20891.64,1228.92,62674.92
request_57,opt_64,installments,4,15,2026-04-05,15975.96,2457.84,63903.84
request_58,opt_65,installments,3,30,2024-12-07,5516840.0,324520.0,16550520.0
request_58,opt_66,installments,4,15,2024-12-07,4218760.0,649040.0,16875040.0
request_59,opt_67,installments,3,30,2025-05-04,47804.0,2812.0,143412.0
request_59,opt_68,installments,4,15,2025-05-04,36556.0,5624.0,146224.0
request_60,opt_69,installments,3,30,2026-01-06,67.96,4.0,203.88
request_60,opt_70,installments,4,15,2026-01-06,51.97,8.0,207.88
request_61,opt_71,installments,3,30,2024-03-03,9881.08,581.24,29643.24
request_61,opt_72,installments,4,15,2024-03-03,7556.12,1162.48,30224.48
request_62,opt_73,installments,3,30,2025-08-05,137.44,8.08,412.32
request_62,opt_74,installments,4,15,2025-08-05,105.1,16.17,420.4
request_63,opt_75,installments,3,30,2026-07-07,116926.0,6878.0,350778.0
request_63,opt_76,installments,4,15,2026-07-07,89414.0,13756.0,357656.0
request_64,opt_77,installments,3,30,2024-06-04,21658.0,1274.0,64974.0
request_64,opt_78,installments,4,15,2024-06-04,16562.0,2548.0,66248.0
request_65,opt_79,installments,3,30,2025-11-06,18475.6,1086.8,55426.8
request_65,opt_80,installments,4,15,2025-11-06,14128.4,2173.6,56513.6
request_66,opt_81,installments,3,30,2026-04-03,7548.0,444.0,22644.0
request_66,opt_82,installments,4,15,2026-04-03,5772.0,888.0,23088.0
request_67,opt_83,installments,3,30,2024-09-05,711.96,41.88,2135.88
request_67,opt_84,installments,4,15,2024-09-05,544.44,83.76,2177.76
request_68,opt_85,installments,3,30,2025-02-07,711.14,41.83,2133.42
request_68,opt_86,installments,4,15,2025-02-07,543.82,83.66,2175.28
request_69,opt_87,installments,3,30,2026-01-04,179.89,10.58,539.67
request_69,opt_88,installments,4,15,2026-01-04,137.57,21.16,550.28
request_70,opt_89,installments,3,30,2024-12-06,82926.0,4878.0,248778.0
request_70,opt_90,installments,4,15,2024-12-06,63414.0,9756.0,253656.0
request_71,opt_91,installments,3,30,2025-05-03,7293340.0,429020.0,21880020.0
request_71,opt_92,installments,4,15,2025-05-03,5577260.0,858040.0,22309040.0
request_72,opt_93,installments,3,30,2026-07-05,3852.2,226.6,11556.6
request_72,opt_94,installments,4,15,2026-07-05,2945.8,453.2,11783.2
request_73,opt_95,installments,3,30,2023-01-20,24276.0,1428.0,72828.0
request_73,opt_96,installments,4,15,2023-01-20,18564.0,2856.0,74256.0
request_74,opt_97,installments,3,30,2025-08-04,1703.4,100.2,5110.2
request_74,opt_98,installments,4,15,2025-08-04,1302.6,200.4,5210.4
request_75,opt_99,installments,3,30,2026-04-06,9611.8,565.4,28835.4
request_75,opt_100,installments,4,15,2026-04-06,7350.2,1130.8,29400.8
request_76,opt_101,installments,3,30,2024-06-03,1514.9,89.11,4544.7
request_76,opt_102,installments,4,15,2024-06-03,1158.46,178.22,4633.84
request_77,opt_103,installments,3,30,2025-11-05,20638.0,1214.0,61914.0
request_77,opt_104,installments,4,15,2025-11-05,15782.0,2428.0,63128.0
request_78,opt_105,installments,3,30,2025-10-02,17068.0,1004.0,51204.0
request_78,opt_106,installments,4,15,2025-10-02,13052.0,2008.0,52208.0
request_79,opt_107,installments,3,30,2024-09-04,731.54,43.03,2194.62
request_79,opt_108,installments,4,15,2024-09-04,559.42,86.06,2237.68
request_80,opt_109,installments,3,30,2025-02-06,73950.0,4350.0,221850.0
