user_id,home_currency,available_balance,minimum_balance_to_keep,financial_priorities,spending_preferences,payment_methods_user_will_consider
user_26,IDR,14399032.98,3209513.68,balanced,flexible_entertainment,full_payment|installments
user_27,ZAR,9195.05,2895.57,emergency_savings,willing_to_adjust_flexible,full_payment|installments
user_28,EUR,1261.72,402.36,debt_reduction,flexible_entertainment,full_payment|installments
user_29,ZAR,31024.77,15730.65,debt_reduction,willing_to_adjust_flexible,full_payment|installments|wait
user_30,USD,1693.73,200.77,debt_reduction,strict_budget,full_payment|partial_payment|installments
user_31,IDR,16250110.94,6573298.96,emergency_savings,flexible_entertainment,full_payment|installments
user_32,ZAR,70372.11,13408.54,debt_reduction,flexible_entertainment,installments|wait
user_33,INR,139580.46,47315.45,emergency_savings,strict_budget,full_payment|installments
user_34,INR,56766.04,60753.15,balanced,flexible_entertainment,full_payment|installments|wait
user_35,INR,478432.82,54536.07,growth,flexible_entertainment,full_payment|partial_payment|installments
user_36,USD,3463.78,1446.69,balanced,willing_to_adjust_flexible,full_payment|installments
user_37,IDR,19832268.45,3916978.34,debt_reduction,strict_budget,full_payment|installments
user_38,EUR,1159.82,540.62,emergency_savings,strict_budget,full_payment|installments
user_39,INR,106634.12,89100.76,balanced,flexible_entertainment,full_payment|installments|wait
user_40,EUR,2494.36,247.61,balanced,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_41,IDR,41408365.91,12775570.31,debt_reduction,willing_to_adjust_flexible,full_payment|installments
user_42,INR,92910.0,15153.32,growth,strict_budget,installments|wait
user_43,IDR,51825181.0,21322784.88,debt_reduction,willing_to_adjust_flexible,full_payment|installments
user_44,INR,50746.51,43460.89,emergency_savings,flexible_entertainment,full_payment|installments|wait
user_45,IDR,51431917.78,6836914.37,growth,strict_budget,full_payment|partial_payment|installments
user_46,INR,31306.51,18920.92,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_47,IDR,65721911.43,13298278.57,growth,flexible_entertainment,full_payment|installments
user_48,INR,41402.01,17091.26,balanced,willing_to_adjust_flexible,full_payment|installments
user_49,IDR,21761436.32,16464890.61,growth,strict_budget,full_payment|installments|wait
user_50,INR,78905.36,15343.38,growth,flexible_entertainment,full_payment|partial_payment|installments
user_51,IDR,2142559.35,815535.3,debt_reduction,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_52,INR,38338.94,12128.87,emergency_savings,strict_budget,installments|wait
user_53,USD,1618.74,1017.54,balanced,willing_to_adjust_flexible,full_payment|installments
user_54,ZAR,90454.73,36737.45,emergency_savings,willing_to_adjust_flexible,full_payment|installments|wait
user_55,INR,523833.28,65618.38,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_56,USD,658.3,204.2,emergency_savings,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_57,ZAR,116789.33,19407.55,debt_reduction,willing_to_adjust_flexible,full_payment|installments
user_58,IDR,18904119.73,9105310.29,balanced,willing_to_adjust_flexible,full_payment|installments
user_59,INR,84790.96,47773.38,balanced,flexible_entertainment,full_payment|installments|wait
user_60,USD,416.86,61.11,emergency_savings,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_61,ZAR,22147.51,5925.61,balanced,strict_budget,full_payment|installments
user_62,USD,562.51,125.4,emergency_savings,flexible_entertainment,installments|wait
user_63,INR,375801.21,187359.12,debt_reduction,flexible_entertainment,full_payment|installments
user_64,INR,42290.45,31172.85,debt_reduction,strict_budget,full_payment|installments|wait
user_65,ZAR,112750.41,14743.46,debt_reduction,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_66,INR,21703.44,7503.01,balanced,strict_budget,full_payment|partial_payment|installments
user_67,USD,4179.87,863.71,growth,willing_to_adjust_flexible,full_payment|installments
user_68,USD,2051.01,783.04,emergency_savings,strict_budget,full_payment|installments
user_69,EUR,216.09,217.35,debt_reduction,flexible_entertainment,full_payment|installments|wait
user_70,INR,405823.69,67370.2,debt_reduction,flexible_entertainment,full_payment|partial_payment|installments
user_71,IDR,22581682.35,7978207.79,emergency_savings,willing_to_adjust_flexible,full_payment|installments
user_72,ZAR,15753.27,4727.38,debt_reduction,willing_to_adjust_flexible,installments|wait
user_73,INR,60898.83,41458.72,growth,flexible_entertainment,full_payment|installments
user_74,ZAR,3576.38,2312.11,debt_reduction,flexible_entertainment,full_payment|installments|wait
user_75,ZAR,47698.21,6677.66,growth,strict_budget,full_payment|partial_payment|installments
user_76,USD,3713.8,1540.81,emergency_savings,flexible_entertainment,full_payment|installments
user_77,INR,92391.29,20323.92,emergency_savings,flexible_entertainment,full_payment|installments
user_78,INR,44007.13,23136.46,debt_reduction,strict_budget,full_payment|installments
user_79,EUR,1018.56,844.56,emergency_savings,strict_budget,full_payment|installments|wait
user_80,INR,506170.35,69859.56,emergency_savings,flexible_entertainment,full_payment|partial_payment|installments
user_81,USD,1922.53,639.65,emergency_savings,flexible_entertainment,full_payment|installments
user_82,USD,2727.62,649.45,debt_reduction,strict_budget,installments|wait
user_83,INR,155302.86,56876.2,growth,flexible_entertainment,full_payment|installments
user_84,INR,44442.55,28661.12,growth,strict_budget,full_payment|installments|wait
user_85,IDR,46983354.4,5926827.42,balanced,strict_budget,full_payment|partial_payment|installments
user_86,INR,43906.09,16024.48,growth,flexible_entertainment,full_payment|installments
user_87,INR,659600.94,148529.07,emergency_savings,willing_to_adjust_flexible,full_payment|installments
user_88,ZAR,28552.34,8304.75,balanced,flexible_entertainment,full_payment|installments
user_89,IDR,5778303.2,5438540.57,debt_reduction,flexible_entertainment,full_payment|installments|wait
user_90,ZAR,6309.63,425.02,debt_reduction,flexible_entertainment,full_payment|partial_payment|installments
user_91,EUR,1729.7,645.69,debt_reduction,strict_budget,full_payment|installments
user_92,ZAR,44104.98,16083.51,debt_reduction,willing_to_adjust_flexible,installments|wait
user_93,USD,1794.58,840.07,growth,willing_to_adjust_flexible,full_payment|installments
user_94,EUR,362.34,231.41,balanced,flexible_entertainment,full_payment|installments|wait
user_95,INR,1218122.62,117698.74,balanced,strict_budget,full_payment|partial_payment|installments
user_96,INR,60022.61,29684.83,growth,strict_budget,full_payment|installments
user_97,ZAR,45657.77,11370.5,emergency_savings,strict_budget,full_payment|installments
user_98,ZAR,28463.69,12729.65,emergency_savings,flexible_entertainment,full_payment|installments
user_99,ZAR,11109.1,7246.06,debt_reduction,strict_budget,full_payment|installments|wait
user_100,ZAR,88805.55,12093.75,balanced,strict_budget,full_payment|partial_payment|installments
user_101,INR,97418.34,52628.48,balanced,willing_to_adjust_flexible,full_payment|installments
user_102,EUR,3409.83,775.25,emergency_savings,willing_to_adjust_flexible,installments|wait
user_103,INR,415015.78,143568.36,emergency_savings,flexible_entertainment,full_payment|installments
user_104,ZAR,8701.55,8222.52,debt_reduction,strict_budget,full_payment|installments|wait
user_105,INR,99166.56,10278.74,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_106,EUR,2083.51,818.14,growth,strict_budget,full_payment|installments
user_107,EUR,4876.87,1169.69,emergency_savings,willing_to_adjust_flexible,full_payment|installments
user_108,ZAR,53617.25,21183.19,emergency_savings,strict_budget,full_payment|installments
user_109,EUR,1320.12,796.46,balanced,flexible_entertainment,full_payment|installments|wait
user_110,ZAR,50674.39,5819.03,growth,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_111,IDR,10055379.38,3575185.83,debt_reduction,willing_to_adjust_flexible,full_payment|installments
user_112,EUR,333.87,93.0,debt_reduction,strict_budget,installments|wait
user_113,INR,31060.7,14325.43,emergency_savings,strict_budget,full_payment|installments
user_114,INR,31607.2,22848.86,emergency_savings,strict_budget,full_payment|installments|wait
user_115,INR,185319.42,26309.57,growth,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_116,INR,235107.0,92898.85,debt_reduction,flexible_entertainment,full_payment|installments
user_117,EUR,1743.25,398.37,growth,flexible_entertainment,full_payment|installments
user_118,EUR,643.43,426.14,growth,willing_to_adjust_flexible,full_payment|installments
user_119,INR,151734.81,94047.5,balanced,flexible_entertainment,full_payment|installments|wait
user_120,IDR,17808826.27,1323869.93,emergency_savings,strict_budget,full_payment|partial_payment|installments
user_121,USD,450.63,230.2,growth,strict_budget,full_payment|installments
user_122,IDR,29688891.08,9227178.19,debt_reduction,flexible_entertainment,installments|wait
user_123,IDR,3299382.49,1458959.11,balanced,strict_budget,full_payment|installments
user_124,EUR,2314.93,1531.54,balanced,strict_budget,full_payment|installments|wait
user_125,ZAR,14082.99,1487.22,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_126,INR,104964.27,62895.19,debt_reduction,willing_to_adjust_flexible,full_payment|installments
user_127,ZAR,47241.26,7586.47,emergency_savings,willing_to_adjust_flexible,full_payment|installments
user_128,ZAR,24509.24,13051.21,balanced,strict_budget,full_payment|installments
user_129,USD,1714.66,1073.62,growth,willing_to_adjust_flexible,full_payment|installments|wait
user_130,USD,3504.6,314.39,growth,flexible_entertainment,full_payment|partial_payment|installments
user_131,USD,1595.4,670.29,debt_reduction,strict_budget,full_payment|partial_payment|installments
user_132,USD,586.9,185.07,balanced,willing_to_adjust_flexible,installments|wait
user_133,IDR,14596179.89,8742960.29,balanced,willing_to_adjust_flexible,full_payment|installments
user_134,IDR,11433197.38,8332425.12,growth,willing_to_adjust_flexible,full_payment|installments|wait
user_135,USD,568.78,53.48,growth,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_136,USD,599.73,187.99,debt_reduction,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_137,INR,132588.26,28156.66,emergency_savings,strict_budget,full_payment|installments
user_138,EUR,1149.81,539.19,balanced,strict_budget,full_payment|installments
user_139,USD,1335.67,1007.75,growth,willing_to_adjust_flexible,full_payment|installments|wait
user_140,ZAR,110127.04,10490.37,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_141,INR,173180.73,60099.06,balanced,flexible_entertainment,full_payment|partial_payment|installments
user_142,USD,2331.66,362.45,emergency_savings,flexible_entertainment,installments|wait
user_143,ZAR,15019.94,6082.88,emergency_savings,strict_budget,full_payment|installments
user_144,USD,132.02,99.39,debt_reduction,willing_to_adjust_flexible,full_payment|installments|wait
user_145,INR,484088.67,54105.52,debt_reduction,flexible_entertainment,full_payment|partial_payment|installments
user_146,INR,417056.24,90378.37,emergency_savings,strict_budget,full_payment|partial_payment|installments
user_147,EUR,1553.42,509.53,growth,flexible_entertainment,full_payment|installments
user_148,ZAR,22752.73,12794.51,emergency_savings,strict_budget,full_payment|installments
user_149,ZAR,16615.66,14401.62,balanced,strict_budget,full_payment|installments|wait
user_150,EUR,1067.3,145.78,growth,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_151,IDR,22219010.81,6259220.87,growth,strict_budget,full_payment|installments
user_152,ZAR,19536.88,4328.55,balanced,willing_to_adjust_flexible,installments|wait
user_153,USD,2813.36,1052.42,growth,flexible_entertainment,full_payment|installments
user_154,EUR,1114.35,563.99,balanced,strict_budget,full_payment|installments|wait
user_155,INR,270418.97,18688.0,debt_reduction,flexible_entertainment,full_payment|partial_payment|installments
user_156,ZAR,34095.41,9931.65,debt_reduction,flexible_entertainment,full_payment|installments
user_157,IDR,36004112.13,7819926.33,growth,strict_budget,full_payment|installments
user_158,INR,200122.26,133397.82,growth,willing_to_adjust_flexible,full_payment|installments
user_159,ZAR,10429.34,4071.74,growth,strict_budget,full_payment|installments|wait
user_160,EUR,2000.69,274.62,growth,strict_budget,full_payment|partial_payment|installments
user_161,IDR,18428614.46,7356236.12,debt_reduction,strict_budget,full_payment|installments
user_162,IDR,115439217.47,30124915.65,emergency_savings,strict_budget,installments|wait
user_163,IDR,18038657.88,9724246.48,growth,willing_to_adjust_flexible,full_payment|installments
user_164,IDR,12590871.42,10630989.41,debt_reduction,willing_to_adjust_flexible,full_payment|installments|wait
user_165,INR,167705.33,26709.69,emergency_savings,flexible_entertainment,full_payment|partial_payment|installments
user_166,USD,2678.99,660.43,growth,flexible_entertainment,full_payment|installments
user_167,ZAR,54324.45,15101.88,debt_reduction,strict_budget,full_payment|installments
user_168,INR,45959.86,26090.86,growth,strict_budget,full_payment|installments
user_169,ZAR,29416.95,19576.97,balanced,flexible_entertainment,full_payment|installments|wait
user_170,IDR,74731727.97,11073592.02,emergency_savings,strict_budget,full_payment|partial_payment|installments
user_171,EUR,1337.91,401.54,emergency_savings,flexible_entertainment,full_payment|installments
user_172,ZAR,19988.83,3058.37,emergency_savings,willing_to_adjust_flexible,installments|wait
user_173,INR,97287.68,38178.89,emergency_savings,willing_to_adjust_flexible,full_payment|installments
user_174,EUR,893.01,450.46,balanced,strict_budget,full_payment|installments|wait
user_175,EUR,4108.4,636.9,emergency_savings,flexible_entertainment,full_payment|partial_payment|installments
user_176,EUR,1341.8,274.74,emergency_savings,strict_budget,full_payment|installments
user_177,USD,1689.86,485.4,growth,strict_budget,full_payment|installments
user_178,EUR,3456.93,1056.24,debt_reduction,flexible_entertainment,full_payment|installments
user_179,IDR,28273877.67,15006463.14,emergency_savings,willing_to_adjust_flexible,full_payment|installments|wait
user_180,INR,153240.73,14592.81,growth,willing_to_adjust_flexible,full_payment|partial_payment|installments
user_181,USD,3972.92,1523.79,balanced,flexible_entertainment,full_payment|installments
user_182,ZAR,123520.01,29938.16,emergency_savings,strict_budget,installments|wait
user_183,IDR,31817807.51,13182488.84,growth,willing_to_adjust_flexible,full_payment|installments
user_184,INR,116175.39,84443.78,balanced,willing_to_adjust_flexible,full_payment|installments|wait
user_185,EUR,2926.21,323.92,growth,strict_budget,full_payment|partial_payment|installments
user_186,ZAR,21715.52,9193.13,balanced,strict_budget,full_payment|installments
user_187,INR,352756.97,85815.52,emergency_savings,strict_budget,full_payment|installments
user_188,EUR,2840.14,919.46,growth,willing_to_adjust_flexible,full_payment|installments
user_189,EUR,314.59,183.54,emergency_savings,strict_budget,full_payment|installments|wait
user_190,EUR,6050.68,476.64,debt_reduction,strict_budget,full_payment|partial_payment|installments
user_191,EUR,663.68,178.1,balanced,willing_to_adjust_flexible,full_payment|installments
user_192,USD,2471.82,996.43,emergency_savings,flexible_entertainment,installments|wait
user_193,EUR,1318.91,541.34,debt_reduction,willing_to_adjust_flexible,full_payment|installments
user_194,INR,78410.07,58746.53,growth,flexible_entertainment,full_payment|installments|wait
user_195,EUR,1970.66,227.43,debt_reduction,strict_budget,full_payment|partial_payment|installments
user_196,EUR,710.45,208.72,balanced,strict_budget,full_payment|installments
